tags,text,geo,mentions,hashtags,id,permalink
1,"‘বায়ু সেনাৰ আক্ৰমণৰ প্ৰমাণ বিচাৰিছে বিৰোধীয়ে’ ‘চকীদাৰক গালিৰে উপচাই পেলাইছে বিৰোধীয়ে’ ‘বেনামী সম্পত্তি, দালাল সংস্কৃতি আমি নোহোৱা কৰিছোঁ’ ‘একাংশৰ কথা-বাৰ্তাই পাকিস্তানক সাৰ-পানী যোগাইছে’ ‘যাৰ কথা বাৰে বাৰে পাকিস্তানত দেখুওৱা হয়’ এই সময়ত দেশ একত্ৰিত হোৱাৰ প্ৰয়োজন : মোদী",,,,1.10215059657922E+018,https://twitter.com/News18Northeast/status/1102150596579217408
1,"""হিন্দুরা তো ভারতের দালাল ........ মালাউন!!!"" - ডা. সুনন্দ সেন. https://www. facebook.com/godfrey.shoura v/posts/2156702974418547 …",,,,1.10190513189176E+018,https://twitter.com/Godfrey_Shourav/status/1101905131891757056
0,"@IamSumanDe #sangesuman আমি চাই পাকিস্থানকে চরম থেকে চরমতর সাজা দেওয়া উচিৎ সেই সাথে আমাদের ভারতের যে ৩ জন গাদ্দার RDX সাপ্লাইকারী পাকিস্থানের দালাল অঙ্কিত গর্গ,,আদীশ জৈন অরুন মাড়ওয়া এই তিনটি গাদ্দারদের নিয়ে ভারত সহ কোলকাতার কোনো সংবাদ মাধ্যম কিছু বলছে না কেন?",,@IamSumanDe,#sangesuman,1.10148980575244E+018,https://twitter.com/LadlaMolla/status/1101489805752438785
1,১৯৭১ সালে পাকিস্তানিরা বাংলাদেশ এর ৩০ লক্ষ মানুষ কে মেরেছিলো বলে ভারতীয় দালাল ও তাদের সহযোগীরা জোর গলায় প্রচার করে। . এখন প্রজন্ম থেকে প্রজন্ম বদলেছে । আপনি তখন যদি কোন বাংলাদেশী মানুষকে প্রশ্ন করতেন আপনি... https://www. facebook.com/46264114051387 0/posts/1985269118251057/ …,,,,1.10248328539187E+018,https://twitter.com/tohinrana1/status/1102483285391872001
1,"DTO কামৰুপ মেট্ৰ’ অফিচৰ কৰ্মচাৰী আৰু দালালৰ মাজত কোনো পাৰ্থক্য দেখা পোৱ নাযায়,কৰ্মচাৰীৰ চকীত দালাল বহি থাকে,গতিকে ৰাইজৰ চিনাত সহায় হোৱাকৈ কৰ্মচাৰী আৰু দালালক বেলেগ বেলেগ uniform দিব লাগে৷",,,,1.10285012301548E+018,https://twitter.com/RamPhookan/status/1102850123015479297
0,http://www. livetitumeer.com দালাল চক্রের হাতে জমি না দেওয়ায় মহিলাকে শ্লীলতাহানি করে দেহ পসারিনীর তকমা দিল https:// youtu.be/7WpT4nVM6Ds,,,,1.10222799489301E+018,https://twitter.com/britisundarroy/status/1102227994893012992
1,"আগামীকালই ভারতীয় পাইলট অভিনন্দনকে নিঃশর্তে মুক্তি দিচ্ছে পাকিস্তান।ইমরান খানের ঘোষণার সঙ্গে সঙ্গে অভিনন্দনকে নিয়ে একটি শব্দ পর্যন্ত উচ্চারণ যারা করেননি, সেইসব রাজনৈতিক নেতা-নেত্রীরা কেমনভাবে দালাল মিডিয়াকে ব্যবহার... https://www. facebook.com/OfficialKAZI/v ideos/983135488740658/ …",,,,1.10114032149541E+018,https://twitter.com/speak2KAZI/status/1101140321495408640
1,"আজ দক্ষিণ দিনাজপুর জেলার বালুরঘাট শহরে বিজেপির বাইক র‍্যালি আটাকানোর জন্য দিদির দালাল পুলিশ বিজেপির জেলা সভাপতি শুভেন্দু সরকার এবং তার কন্যা প্রজ্ঞা সরকার,জেলার সহ-সভাপতি তথা প্রাক্তনসেনাকর্মী মাননীয় বিদ্যুৎ দাস লাহা মহাশয় সহ আরো নেতা কর্মীদের ওপর অমানবিকভাবে লাঠিচার্চ করে।।।। pic.twitter.com/e7h0b3kXcy",,,,1.10220659077663E+018,https://twitter.com/bjp_sourav/status/1102206590776631297
1,"আমাদের দেশে ইংগো, মার্কিন,রুশ,পাক ভারত,চীন,ইস্রাইলের যত দালাল আছে তত বাংলাদেশের দালাল নাই এদেশে।",,,,1.10192578427142E+018,https://twitter.com/similon/status/1101925784271417345
1,"আমি জানি না "" পাকিস্তানের দেশভক্তরা "" কি ওদেরকে #ভারতের দালাল বলে , #গণধর্ষণ করে, #বাড়িঘর ভেঙে দিয়ে, #চাকরি থেকে বিনা কারণে ছাঁটাই করে, #তাদের মা বোনের নামে অকথ্য কুকথা বলে, #নগ্ম ছবিতে তাদের মুখ পেস্ট করে,... https://www. facebook.com/10000239897901 5/posts/2100469570042988/ …",,,#ভ #গণধর #ব #চ #ত #নগ,1.10116185352527E+018,https://twitter.com/ABHIJITPAL1983/status/1101161853525274624
1,আর যারা পাকিস্তান রাজাকারদের পক্ষে কথা বলছেন তাদেরকে সাবধান করে দেই একাত্তরের দালাল দের মত রাজাকারি করবেন না তাহলে বাংলার বুকে ঠাঁই হবে না,,,,1.10148494398793E+018,https://twitter.com/anam47730154/status/1101484943987929089
1,আস্তা আচোদা দালাল শালারা। মানোবতার ১ অংশও নাই।,,,,1.10209703784215E+018,https://twitter.com/dhakaya_bhoot/status/1102097037842153472
1,উনারে ফাটাইয়া দিতে হবে।।। রেন্ডিয়া দালাল,,,,1.10152462533738E+018,https://twitter.com/nsinc987/status/1101524625337380865
