text,
"ఇది రెండో సారి ... కబడ్ధార్ పాకీ . నీకయినా మాకయినా తీవ్రవాదమే సమస్య. సహకరించకు. నిర్మూలిస్తున్న మాకు అడ్డుపడకు. రేపు అభినందనుడు స్వదేశానికి రాక. జై జవాన్ , జై భారత్.",1
అన్నయ్య is Back to home ఉచ్చపోసుకున్న పాకీ కుక్కలు #AbhinandanMyHero #Abhinandanisback pic.twitter.com/t6bEbYYAXJ,1
పాక్ చెరలో ఉన్న ఇండియన్ వింగ్ కమాండర్ అభినందన్ ను రేపు విడుదల చేస్తాం : పాకీ ప్రధానమంత్రి #AbhinandanWillBeReleasedTomorrow #JayahoAbhinandhan #JayahoBharath pic.twitter.com/Eyu1JxWSKJ,1
పాక్ చెరలో ఉన్న ఇండియన్ వింగ్ కమాండర్ అభినందన్ ను రేపు విడుదల చేస్తాం : పాకీ ప్రధానమంత్రి #AbhinandanWillBeReleasedTomorrow #Abhinandhan,1
పాకీ కొడుకులకు అంతంత రుచి చూపాలి,1
"93,000 మంది యుద్ధ ఖైదులను ఎవరి కోసం వదిలేశారు.. పాకీ కుక్కల మెడలు వంచే అవకాశం పోగొట్టుకున్నాము. https:// twitter.com/jollyjohri/sta tus/1100608639516037120 …",1
యుద్ధం వద్దు అని ఒక వైపు అంటూనే సరిహద్దులలో కాల్పులు జరుపుతున్న ఈ పాకీ కుక్కలని వెతికి వెతికి మరి పట్టుకొని తెచ్చి కాల్చిపడేస్తే కానీ బుద్ధి రాదు.,1
మలాలా 21F స్త్రీ విద్య ని అణచేసే పాకీ తాలిబన్లు చేతిలో చావుతప్పి కన్నులొట్టబోయి తంతే UK పారిపోయి నీతులు చెబుతోందన్నో Pak is a Rogue n Terrorist Nation We will kick it in butt Kashmir Is Ours No 2nd dialogue #మలాలాయూసఫ్‌జాయ్ #MalalaYousafZai #BringBackAbhinandan https:// twitter.com/Malala/status/ 1100806335229251584 …,1
ఐక్యరాజ్యసమితి ఒప్పందాల ప్రకారం ఒక జవాన్ ని పట్టుకుంటే పువ్వులాగా చూసుకొని అప్పజెప్పాలి కానీ ఈ పాకీ గాళ్ళు లేకిగాళ్ళ లాగా మన జవాన్ ని కొట్టారు తీసుకెళ్లి బొక్కలో నుకలి,1
"పాకీ వెదవలార యుద్ధంని ఎదురుకోలేక పిరికి పందలాగా యుద్ధం వద్దు శాంతి కావలి అంటున్నారు. మేము శాంతిగా ఉన్నపుడు ఎవరు గెలకమన్నారా గూట్లే.అయన సైన్యం దాడి చేసింది ఉగ్రవాదులు మీద,జనం మీద కాదు.ఇమ్రాన్ తాతయ్య మేము ఉగ్రవాదానికి వ్యతిరేకం అంటాడు మళ్ళీ దాడికి సిద్ధం అంటాడు.",1
అలా చేయకుండా మనం ఒత్తిడి చేయాలని నా మనవి. పాకీ వెధవలని నమ్మకూడదు,1
