text,
"POK ని అడ్డం పెట్టుకుని తీవ్రవాదులను ఎగదోస్తూ నంగనాచి నాటకాలు ఆడుతూ వచ్చిన పాకిస్థాన్ కు, POK లోనే సమాధానం చెప్పిన ఇండియన్ ఆర్మీ దెబ్బతో, దొంగ కు తేలు కుట్టినట్టే.. ఇంతకాలం, ఇలాంటి అడుగులు ఇండియా వెయ్యకనే పాకిస్థాన్ నాటకాలు చెల్లుబాటు కాగలిగాయి.. Salute #IndianAirForce",1
చిన్ని నవ్వు చాలే నంగ నాచి కూనా..... ముల్లోకాలు మింగే మూతి ముడుపు దానా.... ఇంద్రధనుస్సు దాచి రెండు కళ్ళ లోనా... నిద్ర చేరిపేస్తావే అర్ధ రాతిరైనా... ఏ రాకాసి రాసో నీది ఏ గడియల్లో పుట్టవే నయనా... pic.twitter.com/yDkpGdBbe9,0
పోలీస్ లేకుంటే దొంగలు ఒకరితో ఒకరు యుద్ధం చేస్తారు. పోలీస్ వస్తే దొంగలు చేతులూ కలుపుతారు. నవ యుగపు నంగనాచి రాజకీయమ!,1
"మూఢనమ్మకాల ఉక్కు కౌగిళ్లలో, నంగనాచి దొంగల కబంధహస్తల నుంచి బానిస సంకెళ్ళు విడిపించేందుకు విప్లవాగ్ని రగులుతూనే ఉండాలి",0
కమ్మోళ్ళు కమ్మోళ్ళు అని ఇతర వర్గాలని దూరం చెయ్యడం. ఇంట్లో ఆడోళ్ళని రోడ్డు మీదేసి సానుభూతి రాజకీయాలు చెయ్యడం. >> ఇంత నంగనాచి రాజకీయాలు చేసేవోడు పులి ఏంది గలీజుగా? నీకన్నా నక్క నయం. #JaganCasteFeeling @ncbn @JaiTDP @AndhraPradeshCM pic.twitter.com/2fJImI7Zio,1
కమ్మోళ్ళు కమ్మోళ్ళు అని ఇతర వర్గాలని దూరం చెయ్యడం. ఇంట్లో ఆడోళ్ళని రోడ్డు మీదేసి సానుభూతి రాజకీయాలు చెయ్యడం. >> ఇంత నంగనాచి రాజకీయాలు చేసేవోడు పులి ఏంది గలీజుగా? నీకన్నా నక్క నయం. #JaganCasteFeeling @ncbn @JaiTDP @AndhraPradeshCM pic.twitter.com/YVgrNbzpCQ,1
కమ్మోళ్ళు కమ్మోళ్ళు అని ఇతర వర్గాలని దూరం చెయ్యడం. ఇంట్లో ఆడోళ్ళని రోడ్డు మీదేసి సానుభూతి రాజకీయాలు చెయ్యడం. >> ఇంత నంగనాచి రాజకీయాలు చేసేవోడు పులి ఏంది గలీజుగా? నీకన్నా నక్క నయం. #JaganCasteFeeling @ncbn @JaiTDP @AndhraPradeshCM pic.twitter.com/xZNxR9xNJV,1
కమ్మోళ్ళు కమ్మోళ్ళు అని ఇతర వర్గాలని దూరం చెయ్యడం. ఇంట్లో ఆడోళ్ళని రోడ్డు మీదేసి సానుభూతి రాజకీయాలు చెయ్యడం. >> ఇంత నంగనాచి రాజకీయాలు చేసేవోడు పులి ఏంది గలీజుగా? నీకన్నా నక్క నయం. #JaganCasteFeeling @ncbn @JaiTDP @AndhraPradeshCM pic.twitter.com/EbfY9Eg3lp,1
కమ్మోళ్ళు కమ్మోళ్ళు అని ఇతర వర్గాలని దూరం చెయ్యడం. ఇంట్లో ఆడోళ్ళని రోడ్డు మీదేసి సానుభూతి రాజకీయాలు చెయ్యడం. >> ఇంత నంగనాచి రాజకీయాలు చేసేవోడు పులి ఏంది గలీజుగా? నీకన్నా నక్క నయం. #JaganCasteFeeling @ncbn @JaiTDP @AndhraPradeshCM pic.twitter.com/XVOwZKInue,1
కమ్మోళ్ళు కమ్మోళ్ళు అని ఇతర వర్గాలని దూరం చెయ్యడం. జూనియర్ మామని వచ్చి కలిసిపో అని పిలిపించుకొని అభిమానుల్లో చిచ్చు పెట్టడం. ఇంట్లో ఆడోళ్ళని రోడ్డు మీదేసి సానుభూతి రాజకీయాలు చెయ్యడం. >> ఇంత నంగనాచి రాజకీయాలు చేసేవోడు పులి ఏంది గలీజుగా? నీకన్నా నక్క నయం.,1
"మరి మీ నోట ఏమన్నా ఆణి ముత్యాలు, chaganti ప్రవచనం ఏమన్నా వస్తున్నా ఎప్పుడు చూసినా కేసు లు jail లు అని పాడింది పాడు పాచి పళ్ల దాసుడ అన్నట్లు, కుక్క తోక పట్టుకొని గోదావరి లో డాన్స్ చేయడం తప్పితే ఏమన్నా కొత్త గా ట్రై చేయండి. నంగ నాచి కబుర్లు ఆపి 2019 కాండిడేట్ లు వెతుక్కొని రండి.",1
"నంగనాచి ప్రవచనాలు వల్లిస్తూ .. ముష్కరుల కన్నా హీనం.. మన అంతర్గతం. ""భయం కలగాలి"" తప్పు చేస్తే కఠినమైన శిక్ష ఉంటుందన్న భయం కలగాలి. ఏమంటారు sir Mr.జగన్మోహన్ రెడ్డి Mr.చంద్రబాబు నాయుడు మీరు కూడా ప్రవచిన్చాలి. pic.twitter.com/HJG4W0EYBk",1
మీరు అలా నిజాలు మాట్లాడితే ఎట్టా? ఈ నంగనాచి గాడు తల ఏడ పెట్టుకోవాలి?,1
ఎక్కడ పడుకున్నారు ? ప్రత్యేక హోదా కలిగిన రాష్ట్రాలు ఏమి సాధించాయి అన్నది మీరు కాదా ? మరి మీరు ఇప్పుడు ప్రత్యేక హోదా గురించి నంగనాచి డ్రామాలు మీవి కాదా ?,1
విభజన హామీలు నెరవేర్చకుండా U-turn తీసుకొని రాష్ట్రానికి ఏమి చెయ్యకున్నా అన్ని చేశామని ఊసరవెల్లి లాగా మాటలు మారుస్తున్న మీరు ఆంద్రా గురుంచి బాబుగారి గురించి సిగ్గులేకుండా నంగనాచి ట్వీట్లు పెడుతున్నారు,1
